1
-1,-1,108,44
.6,.6,93,77
.3,.3,2,5
.7,.7,139,61
.8,.8,40,58
"Judging by the large screens you believe  this is some sort of observatiom room.","2base2","","","","",""
"iiiimmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm "
"iiiissssssssssllllllllllkkkkkkkkkkllllllllllm "
"iiiissssssssssllllllllllkkkkkkkkkkllllllllllm "
"iiiissssssssssllllllllllkkkkkkkkkkllllllllllm "
"iiiissssssssssllllllllllkkkkkkkkkkllllllllllm "
"iiiissssssssssllllllllllkkkkkkkkkkllllllllllm "
"iiimmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm "
"jjjmjjjjjjjjjjkkkkkkkkkknnnnnnnnnnjjjjjjjjjjm "
"jjjmjjjjjjjjjjkkkkkkkkkknnnnnnnnnnjjjjjjjjjjm "
"jjjmjjjjjjjjjjkkkkkkkkkknnnnnnnnnnjjjjjjjjjjm "
"jjjmjjjjjjjjjjkkkkkkkkkknnnnnnnnnnjjjjjjjjjjm "
"jjjmjjjjjjjjjjkkkkkkkkkknnnnnnnnnnjjjjjjjjjjm "
"jjmmjjjjjjjjjjkkkkkkkkkknnnnnnnnnnjjjjjjjjjjm "
"mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm "
"mmmmmmmmmmmmmmmggggggggmmmmmmmmmmmmmmmmmmmmmm "
"mmffffffffffffffffffffffffeefffffffffffffffff "
"mffffffffffffffffffffffffffefffffffffffffffff "
"ffftttttttttttttttttttttttttttttttttttttttttt "
"ffttttttttttttttttttttthhhtttttttcttttttttttt "
"ftttttttttttttttttttttthhhttttttcccttttttttdd "
"ttttttttttttttttttttttthhhtttttttttttttttttdd "
"ttttaaaaaaaaaaaaaaaaaaaaeebaaaaaaaaaaaaaaaadd "
"ttaaaaaaaaaaaaaaaaaaaaaaabbbaaaaaaaaaaaaaaadd "
"taaaaaaaaaaaaaaaaaaaaaaaabbabaaaaaaaaaaaaaaad "
"aaaaaaaaaaaaaaaaaaaaaaaaaabbaaaaaaaaaaaaaaaaa "
102,94,2
22,46,10
22,34,10
22,38,10
22,42,10
90,58,15
86,58,15
78,58,15
74,58,15
70,58,15
66,58,15
62,58,15
82,58,17
90,58,18
86,58,18
82,58,18
78,58,18
74,58,18
70,58,18
66,58,18
86,70,20
138,22,12
142,22,12
146,22,12
150,22,12
154,22,12
158,22,12
162,22,12
166,22,12
170,22,12
174,18,12
170,18,12
58,22,12
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
"","Light       reflects offthe floor.","l",0,0,0,""
"","A panel lieson the      floor.","l",0,0,0,""
"","It is a     large dent  in the      metallic    panel. ","l",0,0,0,""
"","A large     wire. ","l",0,0,0,""
"","Electric    sparks fire sporadically.","l",0,0,0,""
"","Hundreds of buttons and switches runacross the  control     panels. ","l",0,0,0,""
"","Eight       buttons are in the wall above the   controls.    ","l",0,0,0,""
"","This panel  has been    removed to  show the    inner       workings of the         controls.","l",0,0,0,""
"","This screen is blank.","l",0,0,0,""
"","The screen  displays a  picture thatis oddly    familiar to you. ","l",0,0,0,""
"","Deja-vu","l",0,0,0,""
"","The screens have trackedyour        progress.","l",0,0,0,""
"","Large       screens     totally     cover the   wall. ","l",0,0,0,""
"","The         scientist   now lays    limply on   the ground.","l",150,0,155,""
"","You don't   want to     press the   button if   you don't   know what   it does.","p",0,131,0,""
"","You press   the button.","p",0,0,0,""
"","","",0,0,0,""
"","You press   the button.","p",0,152,152,""
"","You gawk at the strange pedestal andmachinery onthis screen.","l",0,0,0,""
"","The panels  are smooth  and         precisely   fitted.","l",0,0,0,""
"","The         scientist   now lays    motionless  on the      floor.      Someone is  following   you.","",0,0,0,""
"","","",0,0,0,""
"","","",0,0,0,""
"","","",0,0,0,""
"","","",0,0,0,""
"","","",0,0,0,""
"","","",0,0,0,""
"","","",0,0,0,""
"","","",0,0,0,""
"","","",0,0,0,""

